sentence,relation,head,head_offset,tail,tail_offset
关羽是个义重如山的人，见曹军惶惶垂泪，想起旧日曹操许多恩义，张辽旧日之情，心中顿生怜心，尽皆放去,君主,关羽,0,曹操,66
关平慌忙提醒父亲，行前已立军令状，关羽默默不语，勒马回寨,父子,关羽,37,关平,6
建安十三年冬，孙、刘联合抗曹，击溃曹军八十三万，取得了赤壁大战的辉煌胜利,盟友,孙权,12,刘备,16
在夏口盛大的庆功宴上，众将面前摆着赏品，惟独关羽却面临着严厉的军法处置,君主,关羽,66,诸葛亮,0
就在关羽顺从领死之时，众将及刘备纷纷起身求情，诸葛亮方应允,君主,关羽,16,诸葛亮,71
逃至南郡的曹操惊魂初歇，痛定思痛，放声哀哭不已，大喊郭嘉，言：“若奉孝在，安能让我有如此的惨败！”,同僚,曹操,62,郭嘉,66
最后留一密计给南郡守将曹仁，率军暂回许都,同族,曹操,0,曹仁,37
周瑜乘赤壁之胜，挥师攻打南郡,对手,周瑜,0,曹操,0
与此同时，刘备与诸葛亮亦屯兵油江口,君主,刘备,16,诸葛亮,21
周瑜疑孔明有取南郡之意，便携兵问之,对手,周瑜,0,诸葛亮,15
诸葛亮授计刘备言激周瑜应下东吴取不下南郡，刘备可取的誓约,君主,诸葛亮,0,刘备,13
孤傲的周瑜一时赌气答应下来,对手,周瑜,0,诸葛亮,0
周瑜派蒋钦、丁奉、徐盛去攻打南郡，不料被曹仁所败,对手,周瑜,0,曹仁,48
派甘宁去取彝陵，又被围困在城中,同僚,甘宁,5,周瑜,0
周瑜大怒，亲统兵杀败曹军，夺了彝陵，并乘势把南郡城团团围住,对手,周瑜,0,曹仁,35
战局立刻发生逆转，情势危急之下，曹仁和曹洪忙拆开曹操留下的密计，不禁喜上眉梢,同族,曹仁,0,曹洪,18
次日拂晓，周瑜率兵攻城，连连得胜，紧追溃逃的曹仁，挥剑催马扑向南郡城门,对手,周瑜,0,曹仁,46
突然城楼上一阵梆子响，两边万箭齐发，周瑜急转马时被曹纯一箭射中左胁，惨叫一声落下马来，老将程普身中数箭，舍命救出周瑜,对手,周瑜,42,曹纯,61
程普中数箭均在表皮，周瑜中一箭却含有剧毒，顷刻面赤身烧，昏迷不醒,同僚,程普,0,周瑜,25
鲁肃暂理都督职，四处寻医问药，一面在营门高挂免战牌,同僚,鲁肃,0,周瑜,23
身体刚有好转的周瑜便设计大败曹仁，曹仁在猛将牛金的护卫下逃脱险境奔向南郡城,对手,周瑜,30,曹仁,39
可任凭怎样叫喊，南郡城门死死关闭无人应答,对手,周瑜,0,曹仁,0
吴军大队人马追至，曹仁无奈只好弃城他逃,对手,曹仁,0,周瑜,16
周瑜率兵冲至城下，城门仍紧闭不开，城上又无人，当众军顺梯将攀上女儿墙时，云梯突然被城上长木推开，向后仰倒砸下去,对手,周瑜,0,赵云,0
一阵梆声响起，城头旌旗如林，飞舞摇动，城楼闪出一员大将，却是常山赵子龙,对手,赵云,83,周瑜,0
周瑜惊得目瞪口呆，说不出话来,对手,周瑜,0,赵云,0
赵云微笑说：我奉我家军师之命，遵照都督前约，已把南郡夺了,君主,赵云,0,诸葛亮,35
周瑜大怒，喝令攻城！,对手,周瑜,0,赵云,0
赵云及众兵将满弓以对，鲁肃见状，劝周瑜先夺取荆州、襄阳,同僚,鲁肃,35,周瑜,54
周瑜依鲁肃言派将刚毕，就有探马先后来报：荆州被张飞取了；襄阳也落入刘备之手,同僚,鲁肃,13,周瑜,9
周瑜闻言面无血色，急问原由，探马将诸葛亮如何取二城经过一说，周瑜大叫一声：气死我也！仰身栽落马下,对手,周瑜,0,诸葛亮,66
南郡之战中，诸葛亮趁周瑜与曹仁厮杀苦战之际，派大将赵云智取南郡，并利用夺得之兵符，又一举袭取了荆、襄二城,对手,诸葛亮,12,周瑜,24
周瑜气急，箭疮迸裂，吐血坠马，待他从昏迷中醒来之时，立即要起兵与诸葛亮决一雌雄,对手,周瑜,0,诸葛亮,71
鲁肃考虑到如孙刘两家相拼，曹操必会乘虚而入报赤壁之仇，便自荐去荆州以道理说服刘备、孔明，周瑜只好应允,同僚,鲁肃,0,周瑜,97
鲁肃来到荆州受到刘备热诚的接待，待鲁肃理直气壮地说出荆襄之事时，却又被孔明以更充分的理由驳倒,君主,鲁肃,0,刘备,24
鲁肃只好作罢，等待刘琦公子病逝后再谈归还之事,君主,鲁肃,0,刘琦,38
刘备、诸葛亮夺取荆、襄、南郡之后，广招贤士，商议久远之计，刘备听从伊籍、马良建议，表奏公子刘琦为荆州刺史，以安民心，然后实行南征长沙、桂阳、武陵、零陵四郡，积收钱粮，以为根本的战略,君主,刘备,0,刘琦,95
诸葛亮命关羽镇守荆州，亲率张飞、赵云首先攻取零陵,君主,诸葛亮,0,关羽,13
零陵太守刘度父子听从大将邢道荣之言与诸葛亮摆开阵势,对手,刘度,0,诸葛亮,52
赵云只一箭便刺死邢道荣，刘度父子只好负荆而降,君主,赵云,0,诸葛亮,0
刘备又得一郡十分欢喜，他面对众将说，桂阳何人敢取？赵云、张飞都愿往，孔明派赵云去，张飞不服，嚷着要抓阄来定，到头还是他输了,君主,刘备,0,诸葛亮,70
张飞悻悻之时，孔明又派他去取武陵，张飞大喜，并依军师言，都立军令状出征,君主,张飞,0,诸葛亮,28
桂阳太守赵范献城与赵云，并与赵云结为兄弟,兄弟,赵范,40,赵云,47
赵范见赵云正合寡居家嫂的再婚条件，便有心成全好事，谁料却被赵云认为是乱人伦，悖纲常的错事，怒而责之,同僚,赵范,0,赵云,29
赵范之嫂闻言羞而悬梁,同族,赵范,0,赵范之嫂,0
与此同时张飞也轻易夺回武陵,君主,张飞,0,诸葛亮,0
两处战报传入荆州，关羽即上书刘备，请命攻打长沙,君主,关羽,23,刘备,28
孔明告知关羽，长沙有一员老将黄忠，有万夫不当之勇，且文韬武略无一不精，嘱其不可大意,君主,诸葛亮,0,关羽,11
关羽傲而不悦，只带五百校刀手前往,君主,关羽,0,诸葛亮,0
关羽在长沙城下一刀斩杨龄于马下，却与黄忠大战百余回合不分胜负,对手,关羽,0,黄忠,47
来日又战，关羽用拖刀计将黄忠置于死地却没有杀他,对手,关羽,0,黄忠,35
黄忠施百步穿杨之绝技射中关羽的盔缨,对手,黄忠,0,关羽,33
太守韩玄怒责黄忠通敌，将其绑缚杀场,君主,黄忠,23,韩玄,0
魏延救下黄忠，杀死韩玄，大开城门迎接关羽,同僚,魏延,0,黄忠,11
刘备、孔明入城，惟独不见黄忠，便亲去探望，见老将军仰卧于梅花丛中的石凳上，赤裸上身，白须白发散落凳下，汗巾蒙面，仰对苍天,君主,刘备,0,黄忠,62
建安十四年（公元209年），刘备、诸葛亮趁周瑜回柴桑养病，孙权兵败合肥之际，夺取了零陵、武陵、桂阳、长沙四郡,对手,刘备,28,孙权,59
正在刘备欢庆胜利之时，襄阳派人来报：公子刘琦因病身亡,君主,刘备,0,刘琦,63
东吴鲁肃得知此信后，立即渡江而来再谈归还荆州之事,同僚,鲁肃,4,诸葛亮,0
诸葛亮一反常态，说刘备乃孝景帝玄孙，理应安坐荆州，只是碍于友人之面，可写一纸文书暂借荆州，待图得立足之地再还东吴，鲁肃无奈而归,君主,诸葛亮,0,刘备,30
周瑜手指文书埋怨鲁肃又上孔明当了，鲁肃也甚为焦急，求计于周郎,同僚,鲁肃,25,周瑜,41
周瑜突生一计，以孙权之妹许嫁刘备之名，诱刘备入赘，到那时将刘备囚入狱中，再叫人去讨荆州换回刘备,对手,周瑜,0,刘备,44
鲁肃闻言喜上眉梢,同僚,鲁肃,0,周瑜,0
东吴使者前往荆州提亲，刘备想拒绝了之，谁知孔明却一口应承下来，极力劝刘备应亲,君主,诸葛亮,51,刘备,38
并派赵云、孙乾同行，临行时附耳密授赵云三个锦囊妙计，在紧要当口，照计而行,君主,诸葛亮,0,赵云,30
满面愁容的刘备怀着忐忑的心情上船，踏上东吴的地界，却不见有人迎接,君主,刘备,0,孙权,0
赵云取出第一个锦囊观看，命兵士各自披红挂彩，锣鼓喧天奔走相告：“刘皇叔来招亲了！”,君主,赵云,0,刘备,68
赵云陪刘备拜见乔国老，并送重礼,君主,赵云,0,刘备,11
乔国老将此事告知吴国太，吴国太怒责儿子孙权这么大的事都瞒着自己,母亲,孙权,44,吴国太,38
孙权只好说出周瑜之计，吴国太大骂周郎无能，乔国老劝吴国太将错就错，真招刘备为婿，以免出丑,同僚,乔国老,48,吴国太,54
吴国太提出要在甘露寺面相刘备，如中意即招为婿，如不中意任凭孙权处置,母亲,孙权,74,吴国太,0
刘备面对铜镜里自己憔悴、苍老的面容，心里越发慌乱，赵云劝刘备振作起来，应以自己的非凡气度和龙凤之姿来讨得国太的欢心,君主,赵云,47,刘备,38
国太相亲之日，孙权派吕范、贾华将刀斧手安排在后殿两侧，只听自己摔杯为号便可行事,同僚,吕范,16,孙权,15
乔国老吩咐将甘露寺装点得灯火辉煌，振作起来的刘备在灯光的辉映下显得气宇轩昂，精神焕发,同僚,乔国老,0,孙权,0
吴国太细细打量着刘备，面露喜色，准了这门亲事,母亲,孙权,0,吴国太,0
孙权的一切安排在国太的盛怒之下只好作罢,母亲,孙权,0,吴国太,12
刘备到此时方放下心来，宴饮后，刘备和孙权两个君主来到甘露寺院内砍石盟志，以述心声,对手,刘备,60,孙权,66
二人各有用心地在山坡上扬鞭大笑，飞马山谷,对手,刘备,0,孙权,7
吴国太在甘露寺决意招刘备为婿，准备择日为女儿完婚,母亲,孙权,0,吴国太,0
周瑜大惊，但事已至此，只好慢慢图之,对手,周瑜,0,刘备,27
刘备在郡府大厅举行了盛大的结婚庆典，人们欢声笑语，一派喜庆之色,配偶,刘备,0,孙夫人,0
当备与新娘步入洞房之时，见两侧站立数十个佩剑的婢女，通向卧室的壁上也皆挂满刀枪剑戟，疑为东吴设伏，不觉失色,配偶,刘备,6,孙夫人,12
后知这是夫人常令侍婢击剑为乐之故，方心安不惧,配偶,孙夫人,19,刘备,0
周瑜书呈孙权，可将刘备软困东吴，盛筑宫室以丧其志，多送美色珍玩，以娱其耳目，使其分开与关张之情，隔远与诸葛亮之契,对手,周瑜,0,刘备,22
孙权从之，令人广造宫室亭园,君主,孙权,0,周瑜,0
出身微末、奔波半生的刘备，置身温柔乡中，每日与孙夫人同出同进，游园散步，只赏珍玩美物，享尽新婚之乐，渐渐地沉浸于寝帏之内，乐不思归,配偶,刘备,36,孙夫人,45
转眼已到新春，赵云见此甚为焦急，猛然想起军师的锦囊，便拆开第二个，观后便匆匆赶往郡府惊慌地告诉刘备：“曹操要雪赤壁之恨，已率五十万精兵杀奔荆州而来，甚是危急，军师请主公速归,君主,赵云,0,诸葛亮,60
刘备将此事告知孙夫人，孙夫人瞒了孙权，骗了国太，与刘备一行匆匆离去,配偶,刘备,16,孙夫人,21
孙权知此事后十分恼怒，派陈武、潘璋率铁骑五百捉拿刘备,对手,孙权,0,刘备,56
又派蒋钦、周泰再拿自己的佩剑去追，如若不从，可取刘备和孙夫人首级,对手,孙权,0,刘备,78
刘备与赵云一行拥着鸾车赶路,君主,刘备,0,赵云,12
眼看陈、潘追赶在后，周瑜派来的丁奉、徐盛又拦在面前，危急中，赵云又打开孔明的第三个锦囊交给刘备，刘备看完，急步到孙夫人面前含泪告知险境,君主,赵云,0,诸葛亮,55
孙夫人大怒，逼退丁奉、徐盛，又怒骂陈武、潘璋，引车前行,配偶,孙夫人,0,刘备,0
待蒋钦、周泰赶来时，刘备一行已过去两个时辰了,对手,蒋钦,0,刘备,32
刘备一行来到刘郎浦，刘备眼望孙夫人，回想柔情之日，万般感慨,配偶,刘备,32,孙夫人,37
这时东吴大军铺天盖地逼了过来，赵云突然发现江面有船，过去一看原来是纶巾长袍，朗声大笑的孔明,君主,赵云,0,诸葛亮,79
诸葛亮迎接刘备、孙夫人的船驶向对岸，周瑜率水军追了过来，刘备等人靠岸上马，沿江向上游进发，周瑜、黄盖、韩当、丁奉等也上岸骑马追去，在前方不远处诸葛亮一挥手，队伍拐进山谷,对手,诸葛亮,0,周瑜,61
周瑜等紧追不舍，突然一声炮响，关羽率军涌出，周瑜一愣，又一声炮响，左黄忠、右魏延从两侧夹击而来，周瑜拨马便逃，慌忙上船，急命开船,对手,周瑜,0,关羽,48
突然刘军齐声大呼：“周郎妙计安天下，赔了夫人又折兵！”如此反复，一阵比一阵高昂,对手,周瑜,0,诸葛亮,0
周瑜羞怒非常，忽抬头，遥见刘备、孙夫人、孔明等都悠然自如地停在江边山头之上，不由怒火冲天，大吼一声，昏倒在甲板上,对手,周瑜,0,诸葛亮,60
建安十五年初，周瑜被诸葛亮伏兵击溃，怒心冲激，箭疮复发，只得退回柴桑，上书南徐，请兴兵血恨,对手,周瑜,12,诸葛亮,25
孙权不胜忿怒，欲拜程普为都督，起兵攻打荆州,君主,孙权,0,程普,23
张昭、顾雍劝谏此非攻荆州之时，不如使人去许都表奏刘备为荆州牧，结好刘备以安曹操，然后再使心腹，用反间计令曹、刘相攻，再乘隙而图之,同僚,张昭,0,顾雍,3
孙权从之，派华歆出使许都，并令张昭代他前往柴桑探望都督病情,君主,孙权,0,张昭,50
周瑜在病中抚琴，妻子小乔扶侍于旁，张昭将孙权的意图告知都督,配偶,周瑜,20,小乔,28
铜雀台建成，曹操与文武群臣于邺郡欢庆落成大典,对手,曹操,0,周瑜,0
曹氏、夏侯氏一族和异姓武将各展神奇箭术与武功，争夺曹操所赐红袍,同族,曹操,0,夏侯氏,12
最后徐晃和许褚为争红袍真打了起来,同僚,徐晃,6,许褚,11
曹操传众将上台，每人各赐蜀锦一匹,对手,曹操,0,周瑜,0
文武群臣欢宴，乐声阵阵，舞姿翩翩，一时盛况空前，曹操借众文士之赋，大展自己的豪迈胸襟,对手,曹操,0,周瑜,0
此时传来华歆前来上表之事,同僚,华歆,18,曹操,0
曹操闻言大惊失色，谋士程昱看破曹操心事，劝他表奏周瑜为南郡太守，程普为江夏太守,同僚,程昱,24,曹操,30
此两地均在刘备手中，两家一旦开战，曹操便可坐收渔利,对手,曹操,49,刘备,36
周瑜被加封之后觉得讨伐刘备师出有名，便与鲁肃商议，鲁肃说此为曹操之计，并又一次自荐再去索讨荆州,对手,周瑜,27,刘备,41
刘备闻知，求教于孔明，孔明让刘备一见鲁肃提到荆州事便放声大哭，到时孔明自会出来,君主,刘备,0,诸葛亮,31
刘备照办，鲁肃又一次被刘备、孔明真情所感，不便讨要，再次空手而回,君主,刘备,23,诸葛亮,28
周瑜见状，授计鲁肃再到荆州，假说帮助刘备取西川换回荆州，届时接应钱粮劳军；自己实则借机袭取荆州,对手,周瑜,0,刘备,46
孔明早已识破周瑜真意，仍让刘备答应下来,对手,诸葛亮,0,周瑜,18
周瑜率军来到夏口，果见糜竺来接应，告知周瑜：刘备与孔明正在荆州城门外等候，准备与都督亲自把盏,对手,周瑜,0,诸葛亮,70
周瑜甚为得意，以为这次终于瞒住了诸葛亮,对手,周瑜,0,诸葛亮,49
可当他率军行至荆州城门外时却不见一个兵士,对手,周瑜,0,诸葛亮,0
丁奉高声喊叫，只见赵云威风凛凛地出现在城头，点破周瑜的真意,君主,赵云,35,诸葛亮,0
周瑜大怒，正欲下令攻城，突然探马来报：关羽、张飞、黄忠、魏延四路军马不计其数，喊声震天地杀来，皆言要活捉周瑜！,对手,周瑜,0,诸葛亮,0
周瑜闻言怒气填胸，脸色剧变，在马上大叫一声，金疮迸裂，坠于马下,对手,周瑜,0,诸葛亮,0
吴军只好护送昏睡中的周瑜缓缓而退,对手,周瑜,0,诸葛亮,0
突然一曲《长河吟》传入周瑜耳中，他甚为诧异，举目望去，只见高岩上端坐孔明，身前摆着一架古琴,对手,周瑜,28,诸葛亮,73
两位英才四目相对，在乐曲中进行了一次心灵的碰撞，他们心里全都明白，这是一对各事其主、势不两立的知音,对手,诸葛亮,53,周瑜,0
周瑜回到巴丘，病情日益见重，他嘱托完妻子儿女之后，便让小乔代笔，虚弱地口述奏章与孙权,配偶,周瑜,52,小乔,64
江边，卫士们护着周瑜的床榻，沐浴在落日光辉的异常灿烂之中,配偶,周瑜,32,小乔,0
这一代英才，面对一琴一筝，拉着爱妻小乔的手，冲着宽阔的江面，凝望着夕阳下血红般的江水，才最后道出他对孔明的真情实想，连叫数声“既生瑜，何生亮？”而亡,对手,周瑜,93,诸葛亮,103
建安十五年（公元210年）春，东吴大都督周瑜病故巴丘,对手,周瑜,28,诸葛亮,0
噩耗传来，江东上下一片震惊，吴主孙权悲恸中采纳了周瑜临终建议，任命一贯主张联刘抗曹的鲁肃继任大都督之职，并将周瑜灵柩移柴桑停灵七日，然后举行大典殡葬,君主,孙权,34,周瑜,58
诸葛亮得知此讯，也怆然涕下，赵云不解，孔明道出对周瑜的高度评价，并从联吴抗曹大计出发，决意冒险过江祭奠公瑾,对手,诸葛亮,0,周瑜,94
赵云愿为军师护卫,君主,赵云,0,诸葛亮,12
柴桑周瑜灵堂，孙权告知鲁肃：曹操知周郎去世，听从程昱之计，正要亲率大军三十万南下报赤壁之仇,对手,孙权,34,曹操,42
鲁肃说周瑜之死使东吴众将都转恨于刘备、诸葛亮，纷纷都欲征讨，若此时孙刘反目，曹操必会乘虚而至,同僚,鲁肃,0,周瑜,12
孙权内心十分矛盾，一时拿不定主意，此时侍卫禀报，诸葛亮率赵云及五百军士过江吊孝来了，二人大惊,对手,孙权,0,诸葛亮,78
鲁肃请诸葛瑾星夜迎截孔明，务必劝其回去，以免大祸,同僚,鲁肃,0,诸葛瑾,11
孔明执意不听其兄劝阻，仍奔柴桑而来,兄弟,诸葛亮,16,诸葛瑾,25
副都督程普、甘宁等东吴众将认为是孔明气死周郎，对其恨入骨髓，听得此讯，纷纷调兵遣将，准备见到孔明，一刀杀死，再奏孙权,同僚,程普,3,甘宁,7
祭奠开始，灵堂内外一片哭声，隆重的葬仪极其悲壮,对手,诸葛亮,0,周瑜,0
众将得知孔明要来的消息都在悄悄议论，程普、甘宁走上台阶两侧，脸呈严峻，孙权、鲁肃此时也不知该如何办,同僚,程普,24,甘宁,27
人们的神情顿时紧张起来,对手,诸葛亮,0,周瑜,0
突然，身着白衣的诸葛亮跌跌撞撞地冲进大门，悲切地高声呼喊：公瑾，亮来祭你了！,对手,诸葛亮,41,周瑜,57
程普一声吼，甘宁猛然抽出宝剑刺向孔明，众将也眼露杀机，赵云抢步上前夺下甘宁的剑，众将正欲再战，被鲁肃止住,同僚,程普,0,甘宁,15
诸葛亮奔至灵前，扑通跪倒，哭诉祭文，其声之哀，其情之真，深深打动了文武百官和小乔子女,对手,诸葛亮,0,周瑜,0
小乔夫人按公瑾遗嘱将其佩剑赠与鲁肃，又转身望着孔明说：公瑾临终表奏鲁肃替代其职，意在孙刘交好以抗曹操,配偶,小乔,0,周瑜,21
诸葛亮闻之激动不已，大声疾呼：公瑾——真知我诸葛亮者也！,对手,诸葛亮,60,周瑜,71
诸葛亮在归去时路遇庞统，邀其过江共扶刘备以成大业,同僚,诸葛亮,0,庞统,27
庞统从之,君主,庞统,0,诸葛亮,0
孔明手书一封，让其去荆州将信交与刘备，必当重用,君主,诸葛亮,0,刘备,54
庞统来见刘备，并不拿出书信，刘备也如孙权一样，见庞统貌陋，不甚看重，只委他去耒阳作一县令,君主,庞统,0,刘备,11
庞统受了冷落，到任之后整日喝酒，拒不理事，耒阳百姓忙告到刘备处，刘备大怒，令张飞、孙乾同去查办,君主,庞统,0,刘备,70
庞统有心显露才干，在张飞面前升堂审案，只见他目审状纸，耳听陈述，手批判决，不到半日将百日积案尽皆断完，无一差错,君主,庞统,0,张飞,35
张飞惊其大才，告知刘备,君主,张飞,0,刘备,21
刘备深责自己屈才之过，重用庞统，拜其为副军师、中郎将,君主,刘备,0,庞统,44
建安十五年（公元210年），东吴都督周瑜死后，曹操想借机集结三十万大军南征东吴，但他又惧西凉马腾乘虚来袭许都，便假意降诏，加封马腾为征南将军，讨伐孙权，诱马腾进京而除之,对手,曹操,28,马腾,80
马腾明知曹操有诈，但若不往，操便有了口实，可假借天子之命加害马家,对手,马腾,0,曹操,16
马腾便带其子马休、马铁与从子马岱同往，见机行事,父亲,马腾,11,马休,21
在许昌城外，马腾与侍郎黄奎定下除曹之计，然而由于黄奎口风不严，致使马腾招来杀身之祸，同来三子只有马岱一人逃脱,父亲,马腾,63,马岱,95
马超知其父惨遭杀害，愤怒异常，尽起羌兵杀奔许昌，向曹操问罪,父亲,马超,4,马腾,14
两军阵前，马超勇战三将，曹操大败，伏鞍落荒而逃,对手,马超,13,曹操,33
马超率兵紧紧追赶，连声高喊捉拿红袍长须的曹操,对手,马超,0,曹操,52
惊慌中曹操只好割须弃袍，用旗角裹脖，袍袖遮面，仓皇逃命,对手,曹操,0,马超,0
就在马超欲掷枪刺杀曹操之际，曹洪赶到迎战马超，救了曹操,同族,曹操,61,曹洪,46
为避马超锐气，曹操高挂免战牌,对手,曹操,0,马超,19
西凉太守韩遂亲率十万大军增援马超，曹操闻之仰面大笑,盟友,韩遂,11,马超,34
徐晃已知曹操之意，献计派精兵袭击河西，待事成之后两边夹击马超,同僚,徐晃,0,曹操,13
为防马超，曹操令军士筑沙城，谁知一夜大风，城池便无影踪,对手,曹操,13,马超,18
马超、韩遂见曹操几番惨败，现在又无屏障可依，准备全力以赴，明日一战，以求大获全胜,对手,马超,0,曹操,17
待马超催军喊声震天地杀来时，在空旷的地面上却奇迹般地出现了一座并不高大，然而却十分坚固的冰冻沙城,对手,马超,0,曹操,0
马超只好在城前与曹操摆开阵势厮杀,对手,马超,0,曹操,24
素有“虎痴”之称的许褚迎战马超，二人打得极为激烈,对手,许褚,21,马超,33
曹操渡渭河失利，幸得“虎痴”许褚保驾，逃往南岸扎营,同僚,许褚,37,曹操,0
曹操叹道：“马超不减吕布当年之勇，破超只可用计智取。”,对手,曹操,0,马超,25
此时传来徐晃已在河西下营扎寨的消息，马超震惊，曹操大喜,对手,马超,55,曹操,63
谋士贾诩又献计，巧使反间计使韩遂、马超相疑，马超果然中计，迁怒于韩遂，使韩遂倒戈，欲生擒马超，反被马超砍断手臂,对手,马超,83,韩遂,71
马超也在曹操的重兵包围之中全线溃败，最后只与庞德、马岱突出重围，望陇西而逃,同族,马超,51,马岱,61
曹操剿灭羌军，除了心头大患，更加洋洋自得,对手,曹操,0,马超,0
献帝排銮驾出郭相迎，并宣诏：“曹丞相功在国家，皇上特敕，赞拜不名，入朝不趋，剑履上殿。”,君主,献帝,0,曹操,27
建安十六年（公元211年），曹操大破西凉马超，汉中震动,对手,曹操,16,马超,31
张鲁惧怕曹操兵伐汉中，遂想起兵攻取西川作为立足之本，以抗曹操,对手,张鲁,0,曹操,13
西川益州牧刘璋软弱无能，别驾张松早已对其不满，久欲另投明主，遂趁此机会自告奋勇出使许都，明为刘璋游说曹操，使之兵伐张鲁，实则想趁此实现其夙愿,君主,张松,26,刘璋,19
谁知曹操嫌他貌陋高傲，口出狂言，不予理睬,君主,张松,32,曹操,9
虽经主簿杨修的再三推荐，但最后张松终因言语冒犯了曹操，被其乱棍打出,同僚,杨修,12,曹操,56
张松欲投曹操被冷落，无精打采地看着自己精心绘制准备献与曹操的西川地形图，踏上回西川之路,君主,张松,0,曹操,11
张松出使许都之初，就一直被久欲取西川为立足之地的诸葛亮、庞统密切关注着,对手,诸葛亮,73,张松,0
张松行至岔路口，想自己行前曾在刘璋面前夸下海口必能说动曹操，以绝张鲁犯川之患,君主,张松,0,刘璋,39
久闻荆州刘玄德颇有仁义之名，不如绕路看看他们那里如何？,君主,张松,0,刘备,23
消息传到荆州之后，孔明先派赵云率队前往大路迎候张松，进奉酒食；又派关云长率整齐壮观的仪仗队在城外十里长亭恭候；自己与刘备、庞统亲到仪仗队前方迎接张松,君主,诸葛亮,0,张松,55
张松受到如此盛情款待，非常激动，可几次欲谈西川之事都被刘备用言语岔开，并只字不提西川,君主,张松,0,刘备,58
庞统在旁急得几次将话挑明，也都被刘备挡过,同僚,庞统,0,刘备,40
只有孔明在旁观察不语,君主,诸葛亮,0,刘备,0
张松次日即将回川，可刘备仍只字未提西川，张松凝望窗外夜空，百思不得其解，遂决定明日分别时再观察刘备情真与否，再最后决定是否献图,君主,张松,0,刘备,31
城外大道旁，秋风冽冽,君主,张松,0,刘备,0
刘备率队与张松道别，泪眼涟涟,君主,刘备,0,张松,19
张松深感其情真意切，又一次话引西川，刘备仍佯作不觉,君主,张松,0,刘备,39
最后张松再也沉不住了，主动拿出地图并言明献西川之事，刘备此时才拱手施礼，郑重接过地图,君主,张松,0,刘备,55
孔明、庞统会心而笑,同僚,诸葛亮,0,庞统,7
张松回成都后，劝刘璋请备入川，遭到黄权、王累等人的反对,君主,张松,0,刘璋,16
刘璋最终采纳张松的建议，派法正为使请刘备入川，再派孟达率兵五千前往迎接,君主,刘璋,0,刘备,40
建安十六年冬，刘备在孔明、庞统、法正的劝说下，留孔明、关、张、赵镇守荆州，自与庞统、黄忠、魏延、刘封、关平诸将率五万大军从荆州出发，开赴西川,君主,刘备,0,诸葛亮,31
建安十六年（公元211年）冬，益州牧刘璋请刘备入川，助其抵御张鲁,君主,刘璋,20,刘备,27
主簿黄权、从事王累苦谏刘璋，不能让刘备入川，免生后患,同僚,黄权,3,王累,9
刘璋不听劝阻，亲自赶到涪城迎接刘备,君主,刘璋,0,刘备,38
刘备请诸葛亮与关羽、张飞、赵云镇守荆州，自与庞统率大军随刘璋入川,君主,刘备,0,诸葛亮,13
庞统见刘璋力弱，日后必被张鲁吞并，遂和法正劝刘备在宴席间除掉刘璋，夺得西川，再图大业,君主,庞统,0,刘备,55
刘备以为：初入蜀中，威信未立，怎能趁人之危，行此不义之举，未予采纳,君主,刘备,0,刘璋,49
然而，庞统和法正却私下作主，令魏延登堂舞剑，乘势刺杀刘璋,君主,庞统,9,刘璋,54
刘璋及其手下诸将见魏延舞剑筵前，又见阶下武士手按刀把，虎视堂上，觉察有变，从事张任挥剑与魏对舞，一时双方刀剑相峙,君主,刘璋,0,魏延,38
刘备见状大惊，扶剑立于席前厉声制止,君主,刘备,0,魏延,0
刘璋见刘备如此仁义，深为感动,君主,刘璋,0,刘备,15
孙权得知刘备入川，想趁机夺取荆州，他用张昭之计，欲诓孙夫人带阿斗返吴，再以阿斗为人质，逼刘备交出荆州,对手,孙权,0,刘备,20
他派周善扮作商客，率五百兵士暗往荆州，对孙夫人谎称吴国太病危，日夜思念夫人，并想见阿斗，特接夫人回吴省亲,同僚,周善,5,孙权,0
孙夫人未辨真伪，匆匆携阿斗登船,配偶,孙夫人,0,刘备,0
赵云闻报，带四、五骑沿江追赶，呼叫停船,君主,赵云,0,孙夫人,0
周善不理，云乘小舟赶上，跳上大船，问孙夫人：“欲往何处，为何不告知军师？”,君主,赵云,0,孙夫人,54
孙夫人以母病危为由，来不及禀报,配偶,孙夫人,0,刘备,0
云要孙夫人留下阿斗，孙夫人不允，云乃夺过阿斗，他欲上岸，苦无帮手，想动武又恐失礼，进退不得,君主,赵云,0,孙夫人,22
孙夫人喝令侍婢夺过阿斗，赵云一手抱幼主，一手持剑，众人不敢上前,君主,孙夫人,0,赵云,31
周善放船下水，船顺水而流，赵云无法上岸，正在危急之中忽听鼓声，见江边芦苇荡中闪出船只,同僚,周善,0,孙夫人,0
云以为中了东吴之计，只见船头一员大将手持长矛高声呼喊：“嫂嫂留下侄儿！”原来是张飞巡哨，得知消息率船队堵截大船,兄弟,张飞,86,刘备,0
他杀死周善,同僚,张飞,0,周善,8
孙夫人威胁张飞：“你若不放我回去，我情愿投江而死。”,配偶,孙夫人,0,刘备,0
张飞和赵云无奈，只好放孙夫人归吴，抱着阿斗返回荆州，此时，诸葛亮已引大队船只在江边迎接,兄弟,张飞,0,赵云,11
建安十七年（公元212年），刘备率大军入西川，驻守葭萌关,君主,刘备,24,刘璋,0
